timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,derived_stage,derived_value
1757660451.4481397,0.54311514,-0.89813787,0.5079379,0.3397266,-0.8650411,0.6324309,0.18747446,-0.8449812,yt,116.21084594726562
1757660451.5428014,-0.56864554,0.7711652,0.33512208,-0.85313493,-0.09473555,0.88369596,-0.17934236,-0.828915,yt,12.922406196594238
1757660451.648017,-0.8351879,-0.44764,0.14098881,0.67642623,0.90525544,0.6677037,0.11747725,-0.49830934,yt,11.149604797363281
1757660451.7532845,0.023044653,0.011855632,-0.049498875,0.040528674,-0.08763775,0.08487717,-0.12699811,0.12333294,yt,9.04729175567627
1757660451.8497033,0.8677062,0.42373028,-0.20781812,-0.77467775,-0.89972174,-0.52918816,0.060625687,0.66304016,yt,74.39677429199219
1757660451.9812748,0.49633992,-0.7848605,-0.38906324,0.7979483,0.18399201,-0.90952677,-0.06150263,0.8849603,yt,58.47364044189453
1757660452.124501,-0.56169707,0.8718249,-0.53511703,-0.28509673,0.8283129,-0.7660346,0.03400879,0.65873474,yt,10.805720329284668
1757660452.2377293,-0.89762384,-0.7698203,-0.68462574,-0.5545639,-0.40206027,-0.19257434,0.013741691,0.17287062,yt,12.014105796813965
1757660452.3566818,0.04514576,0.4699598,-0.80230266,0.8937968,-0.7560913,0.4729216,0.0007648088,-0.4030264,yt,8.665834426879883
1757660452.450255,0.8765012,0.02505891,-0.8735101,-0.5374976,0.49464878,0.871961,0.020371815,-0.835128,yt,180.3317108154297
1757660452.569352,0.50891995,-0.47798276,-0.89921534,-0.22917396,0.71522653,0.7594843,-0.019170823,-0.85856444,yt,27.53398323059082
1757660452.6808841,-0.53006846,0.7962582,-0.8975623,0.84804547,-0.63003385,0.31872374,0.07851752,-0.39611527,yt,9.029520988464355
1757660452.8262482,-0.8767745,-0.9202394,-0.84328216,-0.7625171,-0.5860648,-0.35102403,-0.07051061,0.1663567,yt,10.2695951461792
1757660452.9576256,-0.017997952,0.73358625,-0.80420107,0.076584086,0.7376951,-0.8408219,0.14204498,0.6881367,yt,8.757864952087402
1757660453.0859783,0.87418133,-0.4100168,-0.66189396,0.68322307,0.49663037,-0.8606015,-0.1628884,0.91684157,yt,296.5474548339844
1757660453.217557,0.53172827,-0.053138133,-0.58989495,-0.8957053,-0.7937045,-0.41443068,0.1330516,0.70633763,yt,14.526187896728516
1757660453.3480747,-0.51167715,0.46982464,-0.41872266,0.39343426,-0.29555193,0.21772385,-0.1706863,0.08438807,yt,8.936030387878418
1757660453.4961662,-0.8870483,-0.8008455,-0.2557763,0.44236207,0.9128375,0.77573043,0.20117255,-0.496436,yt,8.852734565734863
1757660453.625071,0.009299003,0.92229825,-0.06562072,-0.8940014,0.16947654,0.8675672,-0.22643146,-0.8450049,yt,8.661670684814453
