시간,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,yt0,yt1,yt2,yt3,LPF설정,R평균,출력샘플속도
2025-09-22 14:43:08.026,45575.7421875,23642.76953125,327675.9375,-623.2361450195312,327675.9375,0.0011796924518421292,327675.9375,0.000838025938719511,-0.059475578367710114,-1.2723382711410522,-4.216786861419678,-4.289272308349609,2500,4,100.0
2025-09-22 14:43:11.055,151824.28125,171453.8125,327675.9375,0.00020881315867882222,327675.9375,0.0012097257422283292,327675.9375,0.0008714731084182858,0.007572030648589134,-2.8510336875915527,-4.220801830291748,-4.294335842132568,2500,4,100.0
2025-09-22 14:43:14.082,294803.53125,316225.40625,327675.9375,-287.5927734375,327675.9375,0.0011889336165040731,327675.9375,0.0008365791873075068,-0.017257463186979294,-1.6885294914245605,-4.219344615936279,-4.295862197875977,2500,4,100.0
2025-09-22 14:43:17.113,189442.0625,167517.3125,327675.9375,181.4160614013672,327675.9375,0.001195745193399489,327675.9375,0.0008318102336488664,-0.016512345522642136,-1.5687353610992432,-4.215635776519775,-4.292521953582764,2500,4,100.0
2025-09-22 14:43:20.146,147126.703125,112173.7109375,327675.9375,7129.640625,327675.9375,0.0011702541960403323,327675.9375,0.0008378435159102082,-0.007085770834237337,-1.3032246828079224,-4.217865467071533,-4.291877746582031,2500,4,100.0
2025-09-22 14:43:23.179,135112.1875,128718.96875,327675.9375,2654.389404296875,327675.9375,0.0011658651055768132,327675.9375,0.000844648340716958,0.0071891238912940025,-2.505220890045166,-4.218534469604492,-4.289217948913574,2500,4,100.0
2025-09-22 14:43:26.205,72221.6953125,58248.3671875,327675.9375,0.003094917628914118,327675.9375,0.0012056872947141528,327675.9375,0.0008558209519833326,-0.01002905610948801,-2.6895034313201904,-4.218496322631836,-4.293786525726318,2500,4,100.0
2025-09-22 14:43:29.234,265875.25,305843.0,327675.9375,720.1449584960938,327675.9375,0.0012325248681008816,327675.9375,0.0008639871957711875,-0.003409635042771697,-1.353299856185913,-4.218626976013184,-4.295080661773682,2500,4,100.0
2025-09-22 14:43:32.261,126605.5,127437.046875,327675.9375,1821.8734130859375,327675.9375,0.0011798837222158909,327675.9375,0.000849932839628309,0.023622844368219376,-1.5342018604278564,-4.218408107757568,-4.291297435760498,2500,4,100.0
2025-09-22 14:43:35.289,197430.328125,206270.921875,327675.9375,0.0002420830278424546,327675.9375,0.001221500220708549,327675.9375,0.0008573780069127679,0.013149644248187542,-3.7284982204437256,-4.21641206741333,-4.293082237243652,2500,4,100.0
2025-09-22 14:43:38.325,83804.7578125,65640.4375,327675.9375,0.0017759533366188407,327675.9375,0.0011700146133080125,327675.9375,0.0008343976805917919,-0.019185084849596024,-4.359822750091553,-4.217319011688232,-4.2917962074279785,2500,4,100.0
2025-09-22 14:43:41.353,140150.109375,111945.0703125,327675.9375,534.1882934570312,327675.9375,0.0011959659168496728,327675.9375,0.0008522092248313129,-0.021947158500552177,-1.3292595148086548,-4.22102165222168,-4.292469024658203,2500,4,100.0
2025-09-22 14:43:44.385,125270.9453125,101665.8828125,327675.9375,-1.8877501487731934,327675.9375,0.001215296215377748,327675.9375,0.0008524805889464915,-0.009045233950018883,-2.095987319946289,-4.217724323272705,-4.29304838180542,2500,4,100.0
2025-09-22 14:43:47.424,123102.1875,90120.984375,327675.9375,1316.439208984375,327675.9375,0.0011666427599266171,327675.9375,0.0008300426998175681,-0.03214620053768158,-1.981902837753296,-4.2186408042907715,-4.291143894195557,2500,4,100.0
2025-09-22 14:43:50.461,277362.5,294755.3125,327675.9375,80.41632843017578,327675.9375,0.001225694315508008,327675.9375,0.0008448875159956515,-0.01731283590197563,-1.3612338304519653,-4.218888759613037,-4.298088073730469,2500,4,100.0
2025-09-22 14:43:53.489,277070.5,270721.34375,327675.9375,-17.555599212646484,327675.9375,0.0011620600707828999,327675.9375,0.0008447698201052845,-0.0068334913812577724,-3.3613388538360596,-4.220465660095215,-4.291563510894775,2500,4,100.0
2025-09-22 14:43:56.520,102691.1015625,59602.296875,327675.9375,4242.47265625,327675.9375,0.0011467770673334599,327675.9375,0.0008164169848896563,-0.052135977894067764,-1.0309233665466309,-4.222365856170654,-4.296799182891846,2500,4,100.0
2025-09-22 14:43:59.562,240091.859375,275661.375,327675.9375,-25.280309677124023,327675.9375,0.0012195931049063802,327675.9375,0.0008758179028518498,-0.014338061213493347,-1.853755235671997,-4.2197370529174805,-4.29401159286499,2500,4,100.0
2025-09-22 14:44:02.564,229655.84375,253952.78125,327675.9375,0.00020836220937781036,327675.9375,0.0012372088385745883,327675.9375,0.0008669426315464079,-0.005581321194767952,-2.9506468772888184,-4.217663288116455,-4.2948455810546875,2500,4,100.0
2025-09-22 14:44:05.577,257618.859375,279028.09375,327675.9375,-588.0708618164062,327675.9375,0.0012325227726250887,327675.9375,0.00086681277025491,-0.0034540658816695213,-1.1123930215835571,-4.21901273727417,-4.294470310211182,2500,4,100.0
2025-09-22 14:44:08.589,187839.765625,187982.71875,327675.9375,1616.272216796875,327675.9375,0.0011805889662355185,327675.9375,0.0008340204949490726,-0.0161795224994421,-2.877039670944214,-4.21791410446167,-4.291759014129639,2500,4,100.0
2025-09-22 14:44:11.595,114284.90625,91866.9140625,327675.9375,-0.862516462802887,327675.9375,0.001223425380885601,327675.9375,0.000844333553686738,-0.02195991948246956,-2.521453380584717,-4.216205596923828,-4.294517993927002,2500,4,100.0
