시간,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,yt0,yt1,yt2,yt3,LPF설정,R평균,출력샘플속도(Target Rate)
2025-09-22 15:10:02.954,270080.4375,293656.125,327675.9375,-1.446103572845459,327675.9375,0.0012145573273301125,327675.9375,0.0008684853091835976,-0.024561146274209023,-1.7559531927108765,-4.220633029937744,-4.294102191925049,2500,4,100.0
2025-09-22 15:10:05.987,298104.3125,322732.15625,327675.9375,671.0732421875,327675.9375,0.00119865033775568,327675.9375,0.0008613888057880104,-0.048389844596385956,-1.0709668397903442,-4.221468925476074,-4.29508638381958,2500,4,100.0
2025-09-22 15:10:09.031,101129.0703125,65660.28125,327675.9375,18744.013671875,327675.9375,0.0011797165498137474,327675.9375,0.0008020758396014571,-0.03748387098312378,-0.8532372117042542,-4.217563152313232,-4.297248840332031,2500,4,100.0
2025-09-22 15:10:12.058,80184.9609375,69845.1484375,327675.9375,142.2865447998047,327675.9375,0.0011978509137406945,327675.9375,0.0008755860617384315,-0.00712543074041605,-1.3617455959320068,-4.219979763031006,-4.287871360778809,2500,4,100.0
2025-09-22 15:10:15.094,137427.875,90065.8203125,327675.9375,5863.79833984375,327675.9375,0.0011890996247529984,327675.9375,0.0008234695415012538,-0.03877322003245354,-1.0648154020309448,-4.218112945556641,-4.2944111824035645,2500,4,100.0
2025-09-22 15:10:18.124,180469.453125,218358.859375,327675.9375,1686.6275634765625,327675.9375,0.0012149609392508864,327675.9375,0.0008571759099140763,0.03215382993221283,-1.1058303117752075,-4.2184319496154785,-4.293993949890137,2500,4,100.0
2025-09-22 15:10:21.158,82798.359375,68508.6640625,327675.9375,1596.3203125,327675.9375,0.0012054762337356806,327675.9375,0.0008729621185921133,-0.016279619187116623,-1.5182116031646729,-4.218525409698486,-4.29085636138916,2500,4,100.0
2025-09-22 15:10:24.191,120860.59375,140544.75,327675.9375,250.85549926757812,327675.9375,0.0012036330299451947,327675.9375,0.0008710416732355952,0.026880869641900063,-1.358755111694336,-4.220705032348633,-4.291876792907715,2500,4,100.0
2025-09-22 15:10:27.221,267321.3125,297645.84375,327675.9375,1893.582275390625,327675.9375,0.0012085289927199483,327675.9375,0.0008896207436919212,-0.018119778484106064,-1.0422459840774536,-4.221194267272949,-4.289443492889404,2500,4,100.0
2025-09-22 15:10:30.252,263806.4375,299869.4375,327675.9375,1372.4119873046875,327675.9375,0.0011968034086748958,327675.9375,0.0008689298992976546,-0.03161890432238579,-1.51106858253479,-4.219979286193848,-4.293771266937256,2500,4,100.0
2025-09-22 15:10:33.294,135628.65625,149473.515625,327675.9375,0.44900810718536377,327675.9375,0.0012055904371663928,327675.9375,0.0008653741097077727,0.020100383087992668,-2.0072689056396484,-4.221377849578857,-4.293931484222412,2500,4,100.0
2025-09-22 15:10:36.332,118346.875,97244.7109375,327675.9375,2978.494873046875,327675.9375,0.0011673467233777046,327675.9375,0.0008364004315808415,-0.013034132309257984,-1.0219272375106812,-4.221804141998291,-4.291345596313477,2500,4,100.0
2025-09-22 15:10:39.368,215732.859375,209451.453125,327675.9375,8547.529296875,327675.9375,0.0011746959062293172,327675.9375,0.0008356021135114133,-0.020073072984814644,-1.5359317064285278,-4.219923496246338,-4.290838718414307,2500,4,100.0
2025-09-22 15:10:42.400,149383.546875,138443.34375,327675.9375,5858.2509765625,327675.9375,0.0011512056225910783,327675.9375,0.000838432286400348,-0.0019304821034893394,-0.9953420758247375,-4.221655368804932,-4.293184757232666,2500,4,100.0
2025-09-22 15:10:45.442,277375.15625,305070.8125,327675.9375,1806.5809326171875,327675.9375,0.001214382122270763,327675.9375,0.0008506287704221904,-0.03921827673912048,-1.1100319623947144,-4.219857215881348,-4.294094562530518,2500,4,100.0
