시간,데이터수집(ms),신호처리(ms),화면갱신(Hz),루프처리량(kS/s)
2025-09-22 14:32:42,42.62,3.36,20.87,341.95
2025-09-22 14:32:52,41.97,2.60,21.34,349.66
2025-09-22 14:33:02,41.70,2.89,21.28,348.58
2025-09-22 14:33:12,41.97,2.91,21.20,347.29
2025-09-22 14:33:22,41.98,4.05,20.74,339.74
2025-09-22 14:33:32,42.21,2.75,21.15,346.49
2025-09-22 14:33:42,42.17,2.68,21.24,348.04
2025-09-22 14:33:52,42.41,2.92,21.03,344.61
2025-09-22 14:34:02,41.79,2.71,21.30,348.94
2025-09-22 14:34:12,42.52,2.65,21.15,346.52
2025-09-22 14:34:22,42.19,2.77,21.19,347.19
2025-09-22 14:34:32,42.08,2.59,21.27,348.56
2025-09-22 14:34:42,41.88,2.50,21.36,349.97
2025-09-22 14:34:52,41.93,3.03,21.10,345.73
2025-09-22 14:35:02,41.67,2.80,21.27,348.51
2025-09-22 14:35:12,41.88,2.89,21.27,348.43
2025-09-22 14:35:22,42.40,2.52,21.26,348.32
2025-09-22 14:35:32,42.24,2.59,21.32,349.29
2025-09-22 14:35:42,41.80,2.89,21.13,346.17
2025-09-22 14:35:52,42.56,2.96,21.01,344.22
2025-09-22 14:36:02,42.31,2.84,21.08,345.42
2025-09-22 14:36:12,41.96,2.71,21.31,349.18
2025-09-22 14:36:22,41.99,2.78,21.24,347.93
2025-09-22 14:36:32,41.64,3.46,21.05,344.92
2025-09-22 14:36:42,42.15,2.64,21.26,348.35
2025-09-22 14:36:52,41.94,2.85,21.24,348.03
2025-09-22 14:37:02,41.93,3.07,21.13,346.24
2025-09-22 14:37:12,42.24,2.71,21.19,347.12
