시간,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,yt0,yt1,yt2,yt3,LRF설정,R평균,출력샘플속도
2025-09-19 10:21:07.103,1.8408230543136597,5.939377307891846,327675.9375,0.0001748369977576658,327675.9375,0.0012195182498544455,327675.9375,0.0008725851075723767,0.3350898325443268,-5.876694679260254,-5.592996120452881,-5.649448394775391,5000,4,100.0
2025-09-19 10:21:10.118,1.840964913368225,5.939530849456787,327675.9375,0.0002412901958450675,327675.9375,0.0012070892844349146,327675.9375,0.0008861327078193426,0.33509936928749084,-5.83595085144043,-5.589957237243652,-5.644237995147705,5000,4,100.0
2025-09-19 10:21:13.131,1.8900394439697266,6.075893402099609,327675.9375,119.53840637207031,327675.9375,0.0012155130971223116,327675.9375,0.0008711711270734668,0.33406662940979004,-3.7872352600097656,-5.591912269592285,-5.652866840362549,5000,4,100.0
2025-09-19 10:21:16.195,1.9395256042480469,6.207976341247559,327675.9375,0.00020669812511187047,327675.9375,0.0012456141412258148,327675.9375,0.0008559825364500284,0.3328450620174408,-5.831061840057373,-5.590865135192871,-5.648709297180176,5000,4,100.0
2025-09-19 10:21:19.257,2.027168035507202,6.431912899017334,327675.9375,-466.4426574707031,327675.9375,0.0012175324372947216,327675.9375,0.0008364063687622547,0.3303937315940857,-4.314270973205566,-5.5909881591796875,-5.651337146759033,5000,4,100.0
2025-09-19 10:21:22.303,2.0283002853393555,6.4345927238464355,327675.9375,0.00016025789955165237,327675.9375,0.001211669179610908,327675.9375,0.0008706500520929694,0.33038824796676636,-5.901714324951172,-5.592955589294434,-5.650112628936768,5000,4,100.0
2025-09-19 10:21:25.304,2.0282604694366455,6.434165000915527,327675.9375,0.0002092748909490183,327675.9375,0.001206031534820795,327675.9375,0.0008594037499278784,0.3303668797016144,-5.880842685699463,-5.593889236450195,-5.6529154777526855,5000,4,100.0
2025-09-19 10:21:28.335,2.0279786586761475,6.433858871459961,327675.9375,0.00020418826898094267,327675.9375,0.0012036479311063886,327675.9375,0.0008323556394316256,0.3303713798522949,-5.885791301727295,-5.59059476852417,-5.648367881774902,5000,4,100.0
2025-09-19 10:21:31.368,2.027768611907959,6.432640552520752,327675.9375,0.0001955161860678345,327675.9375,0.0012078844010829926,327675.9375,0.0008207687642425299,0.3303541839122772,-5.877121448516846,-5.594306468963623,-5.654427528381348,5000,4,100.0
2025-09-19 10:21:34.430,2.0289132595062256,6.4847869873046875,327675.9375,0.00018548128718975931,327675.9375,0.0011846674606204033,327675.9375,0.0008741358178667724,0.3324684202671051,-5.869859218597412,-5.5930256843566895,-5.647022247314453,5000,4,100.0
2025-09-19 10:21:37.462,2.0276601314544678,6.644951820373535,327675.9375,0.0001571352913742885,327675.9375,0.0012215671595185995,327675.9375,0.0008097323589026928,0.3393959403038025,-5.8771138191223145,-5.590739727020264,-5.65382719039917,5000,4,100.0
2025-09-19 10:21:40.525,2.0282139778137207,6.74322509765625,327675.9375,0.00019566468836273998,327675.9375,0.001202494720928371,327675.9375,0.0008834695327095687,0.3434441089630127,-5.859715461730957,-5.590651035308838,-5.646041393280029,5000,4,100.0
2025-09-19 10:21:43.570,2.0272810459136963,5.974132537841797,327675.9375,0.00017261417815461755,327675.9375,0.0012406583409756422,327675.9375,0.0008340423228219151,0.30977556109428406,-5.869270324707031,-5.588560104370117,-5.654134273529053,5000,4,100.0
2025-09-19 10:21:46.621,2.0279335975646973,6.78484582901001,327675.9375,0.0002187351929023862,327675.9375,0.0012400586856529117,327675.9375,0.0008517225505784154,0.3452036678791046,-5.8688530921936035,-5.590390205383301,-5.650664329528809,5000,4,100.0
2025-09-19 10:21:49.651,2.0286636352539062,6.5880231857299805,327675.9375,0.00022160084336064756,327675.9375,0.0012701922096312046,327675.9375,0.0008779570343904197,0.33694714307785034,-5.853912830352783,-5.586432456970215,-5.6467509269714355,5000,4,100.0
2025-09-19 10:21:52.667,2.0285096168518066,5.438920021057129,327675.9375,0.00023379374761134386,327675.9375,0.0012746271677315235,327675.9375,0.0008733475697226822,0.2832672595977783,-5.8650031089782715,-5.586483001708984,-5.646495819091797,5000,4,100.0
2025-09-19 10:21:55.713,2.028022050857544,6.777327537536621,327675.9375,0.004475868307054043,327675.9375,0.0012461761943995953,327675.9375,0.0008824715623632073,0.34488704800605774,-5.709681987762451,-5.591212272644043,-5.648719787597656,5000,4,100.0
2025-09-19 10:21:58.762,2.028005599975586,6.694098949432373,327675.9375,0.00018144126806873828,327675.9375,0.0012106194626539946,327675.9375,0.0008286401280201972,0.34140530228614807,-5.875574111938477,-5.5904693603515625,-5.652954578399658,5000,4,100.0
2025-09-19 10:22:01.825,2.0278773307800293,5.977167129516602,327675.9375,0.00022321993310470134,327675.9375,0.0011656030546873808,327675.9375,0.000844828668050468,0.3098440170288086,-5.858471393585205,-5.596900939941406,-5.65457820892334,5000,4,100.0
2025-09-19 10:22:04.841,2.027454137802124,3.300719738006592,327675.9375,325.8852233886719,327675.9375,0.001229847315698862,327675.9375,0.0008468067389912903,0.14180569350719452,-5.0280561447143555,-5.591875076293945,-5.654058456420898,5000,4,100.0
2025-09-19 10:22:07.887,2.027874708175659,0.43222904205322266,327675.9375,0.00019577372586354613,327675.9375,0.0012007710756734014,327675.9375,0.0008373964810743928,-0.466204434633255,-5.870269298553467,-5.593404293060303,-5.654424667358398,5000,4,100.0
