시간,데이터수집(ms),신호처리(ms),화면갱신(Hz),루프처리량(kS/s)
2025-09-19 13:16:51,42.65,2.95,20.85,341.57
2025-09-19 13:17:01,42.36,3.38,20.85,341.55
2025-09-19 13:17:11,42.37,3.83,20.68,338.77
2025-09-19 13:17:21,42.12,2.67,21.07,345.21
2025-09-19 13:17:31,42.42,2.53,21.15,346.46
2025-09-19 13:17:41,42.87,2.53,21.01,344.22
2025-09-19 13:17:51,40.29,2.81,21.48,351.99
2025-09-19 13:18:01,41.90,3.19,21.03,344.61
2025-09-19 13:18:11,43.44,3.91,20.15,330.13
2025-09-19 13:18:21,39.13,2.53,21.87,358.37
2025-09-19 13:18:31,42.99,2.72,20.89,342.32
2025-09-19 13:18:41,41.36,2.68,21.56,353.22
2025-09-19 13:18:51,42.25,2.53,21.21,347.58
2025-09-19 13:19:01,42.37,2.63,21.17,346.87
2025-09-19 13:19:11,43.22,2.50,20.85,341.60
2025-09-19 13:19:21,41.79,2.56,21.40,350.66
2025-09-19 13:19:31,42.22,2.57,21.24,347.94
2025-09-19 13:19:41,42.44,2.82,21.03,344.53
2025-09-19 13:19:52,42.74,4.00,20.38,333.92
2025-09-19 13:20:02,42.69,3.33,20.76,340.16
2025-09-19 13:20:12,42.01,2.58,21.27,348.45
2025-09-19 13:20:22,42.17,2.55,21.21,347.58
2025-09-19 13:20:32,42.07,2.51,21.31,349.17
2025-09-19 13:20:42,42.35,2.52,21.19,347.21
2025-09-19 13:20:52,42.60,4.19,20.38,333.99
2025-09-19 13:21:02,42.86,2.86,20.89,342.30
2025-09-19 13:21:12,42.31,2.57,21.16,346.68
2025-09-19 13:21:22,42.51,2.94,21.00,344.02
2025-09-19 13:21:32,38.54,2.71,21.95,359.68
2025-09-19 13:21:42,42.67,3.36,20.74,339.88
2025-09-19 13:21:52,42.08,2.51,21.27,348.51
2025-09-19 13:22:02,40.32,2.58,21.47,351.83
2025-09-19 13:22:12,44.10,4.24,19.76,323.71
2025-09-19 13:22:22,41.45,2.56,21.57,353.35
2025-09-19 13:22:32,38.54,3.00,21.80,357.22
2025-09-19 13:22:42,42.08,2.50,21.31,349.17
2025-09-19 13:22:52,40.88,2.54,21.47,351.72
2025-09-19 13:23:02,42.23,3.02,21.04,344.77
2025-09-19 13:23:12,41.64,3.27,20.86,341.71
2025-09-19 13:23:22,41.07,2.62,21.52,352.50
2025-09-19 13:23:32,42.16,2.55,21.16,346.64
2025-09-19 13:23:42,42.80,4.03,20.35,333.39
2025-09-19 13:23:52,42.12,2.58,21.28,348.69
2025-09-19 13:24:02,43.70,4.24,19.97,327.16
2025-09-19 13:24:12,39.45,2.65,21.53,352.72
2025-09-19 13:24:22,41.87,2.82,21.28,348.70
2025-09-19 13:24:32,42.47,2.90,20.99,343.97
2025-09-19 13:24:42,42.51,2.88,20.98,343.73
2025-09-19 13:24:52,41.91,4.53,20.35,333.46
2025-09-19 13:25:02,39.23,2.46,21.81,357.41
2025-09-19 13:25:12,41.89,3.40,20.97,343.52
2025-09-19 13:25:22,41.90,2.61,21.31,349.15
2025-09-19 13:25:32,42.01,2.60,21.27,348.46
2025-09-19 13:25:42,41.16,2.68,21.41,350.77
2025-09-19 13:25:52,41.70,2.43,21.51,352.35
2025-09-19 13:26:02,39.42,2.67,21.91,359.02
2025-09-19 13:26:12,42.81,2.75,20.88,342.17
