시간,데이터수집(ms),신호처리(ms),화면갱신(Hz),루프처리량(kS/s)
2025-09-19 15:33:46,42.95,2.81,20.77,340.22
2025-09-19 15:33:56,41.99,2.54,21.31,349.08
2025-09-19 15:34:06,42.18,3.44,20.89,342.28
2025-09-19 15:34:16,38.48,3.39,21.63,354.38
2025-09-19 15:34:26,40.25,2.70,21.77,356.73
2025-09-19 15:34:36,40.78,2.66,21.61,354.06
2025-09-19 15:34:46,42.34,3.97,20.60,337.54
2025-09-19 15:34:56,39.02,2.78,21.66,354.93
2025-09-19 15:35:06,38.52,3.91,21.33,349.50
2025-09-19 15:35:16,41.92,6.22,19.22,314.82
2025-09-19 15:35:26,41.91,3.09,21.07,345.17
2025-09-19 15:35:36,38.61,3.50,22.12,362.38
2025-09-19 15:35:47,42.08,2.51,21.35,349.74
2025-09-19 15:35:57,41.98,2.52,21.31,349.12
2025-09-19 15:36:07,39.51,2.66,21.86,358.15
2025-09-19 15:36:17,42.56,4.09,20.26,331.91
2025-09-19 15:36:27,41.07,2.58,21.74,356.18
2025-09-19 15:36:37,42.12,3.38,20.94,343.00
2025-09-19 15:36:47,39.04,2.71,22.25,364.47
2025-09-19 15:36:57,40.83,3.07,21.41,350.82
2025-09-19 15:37:07,42.12,2.98,21.15,346.49
2025-09-19 15:37:17,43.33,3.79,20.21,331.15
2025-09-19 15:37:27,42.46,3.70,20.66,338.53
2025-09-19 15:37:37,43.02,4.18,20.20,331.00
2025-09-19 15:37:47,41.28,4.18,20.71,339.24
2025-09-19 15:37:57,40.26,3.15,21.43,351.08
2025-09-19 15:38:07,42.02,2.53,21.36,349.93
2025-09-19 15:38:17,38.63,2.72,21.86,358.16
2025-09-19 15:38:27,42.29,2.49,21.24,347.94
2025-09-19 15:38:37,42.25,4.32,20.40,334.23
2025-09-19 15:38:47,42.45,3.40,20.79,340.66
2025-09-19 15:38:57,38.76,2.81,21.74,356.21
2025-09-19 15:39:07,42.05,2.58,21.28,348.69
2025-09-19 15:39:17,42.32,4.17,20.45,335.10
2025-09-19 15:39:27,41.65,2.96,21.19,347.19
2025-09-19 15:39:37,43.83,4.30,19.87,325.58
2025-09-19 15:39:47,42.70,3.65,20.56,336.91
2025-09-19 15:39:57,42.20,2.68,21.19,347.12
2025-09-19 15:40:07,42.15,3.99,20.62,337.81
2025-09-19 15:40:17,41.29,4.81,19.78,324.10
2025-09-19 15:40:27,42.07,2.69,21.21,347.52
2025-09-19 15:40:37,39.09,2.60,21.86,358.22
2025-09-19 15:40:47,41.37,3.65,20.76,340.19
2025-09-19 15:40:57,40.87,3.11,21.32,349.33
2025-09-19 15:41:07,41.78,2.64,21.35,349.88
2025-09-19 15:41:17,40.06,2.61,21.25,348.17
2025-09-19 15:41:27,38.73,4.03,21.24,348.04
2025-09-19 15:41:37,42.04,2.60,21.29,348.78
2025-09-19 15:41:47,40.53,3.45,21.30,348.97
2025-09-19 15:41:57,41.71,4.29,20.44,334.91
2025-09-19 15:42:07,42.30,2.68,21.05,344.93
2025-09-19 15:42:17,43.46,2.64,20.67,338.65
2025-09-19 15:42:27,40.60,3.50,21.25,348.12
2025-09-19 15:42:37,42.30,3.95,20.53,336.38
2025-09-19 15:42:47,41.55,3.31,21.14,346.32
2025-09-19 15:42:57,43.46,2.68,20.59,337.36
2025-09-19 15:43:07,40.51,2.49,21.74,356.23
2025-09-19 15:43:17,40.82,3.50,21.29,348.88
2025-09-19 15:43:27,39.87,2.55,22.05,361.32
2025-09-19 15:43:37,42.18,2.68,21.14,346.32
2025-09-19 15:43:47,41.97,2.59,21.26,348.38
2025-09-19 15:43:57,39.10,2.61,21.96,359.76
2025-09-19 15:44:07,40.84,3.46,21.33,349.45
2025-09-19 15:44:17,41.08,2.95,21.24,347.98
2025-09-19 15:44:27,41.40,2.61,21.57,353.35
2025-09-19 15:44:37,43.07,2.79,20.80,340.78
2025-09-19 15:44:47,42.23,4.21,20.30,332.61
2025-09-19 15:44:58,40.62,2.66,21.64,354.54
2025-09-19 15:45:08,38.47,2.69,21.84,357.85
2025-09-19 15:45:18,38.93,2.60,21.67,355.06
2025-09-19 15:45:28,43.65,3.94,20.03,328.14
2025-09-19 15:45:38,42.93,2.75,20.83,341.20
2025-09-19 15:45:48,41.04,3.45,21.28,348.64
2025-09-19 15:45:58,43.34,3.76,20.25,331.81
2025-09-19 15:46:08,41.14,2.97,21.37,350.19
2025-09-19 15:46:18,43.42,4.82,19.76,323.79
2025-09-19 15:46:28,41.87,3.33,20.99,343.93
2025-09-19 15:46:38,38.42,2.55,22.11,362.21
2025-09-19 15:46:48,39.84,2.64,21.86,358.07
2025-09-19 15:46:58,42.55,3.24,20.77,340.35
2025-09-19 15:47:08,39.14,2.57,21.82,357.51
2025-09-19 15:47:18,42.80,4.32,20.16,330.35
2025-09-19 15:47:28,42.57,2.97,20.96,343.35
2025-09-19 15:47:38,43.43,4.09,20.11,329.55
2025-09-19 15:47:48,41.59,3.15,20.97,343.54
2025-09-19 15:47:58,41.51,3.13,21.05,344.81
2025-09-19 15:48:08,42.45,3.53,20.68,338.84
2025-09-19 15:48:18,43.43,3.65,20.24,331.68
2025-09-19 15:48:28,42.17,3.58,20.81,341.01
2025-09-19 15:48:38,42.50,2.69,21.09,345.57
2025-09-19 15:48:48,40.64,4.84,20.20,331.00
2025-09-19 15:48:58,42.31,3.69,20.71,339.24
2025-09-19 15:49:08,38.29,3.34,21.69,355.44
2025-09-19 15:49:18,40.75,2.64,21.63,354.46
2025-09-19 15:49:28,42.79,3.27,20.76,340.08
2025-09-19 15:49:38,42.13,3.14,21.02,344.32
2025-09-19 15:49:48,42.17,3.17,20.45,335.01
2025-09-19 15:49:58,42.16,2.48,21.37,350.08
2025-09-19 15:50:08,41.54,3.98,20.76,340.17
2025-09-19 15:50:18,40.97,4.83,20.43,334.70
2025-09-19 15:50:28,42.77,2.92,20.87,341.95
