시간,데이터수집(ms),신호처리(ms),화면갱신(Hz),루프처리량(kS/s)
2025-09-19 16:15:41,40.66,5.22,19.89,325.84
2025-09-19 16:15:51,41.34,4.71,20.27,332.04
2025-09-19 16:16:01,42.17,2.59,21.27,348.49
2025-09-19 16:16:11,40.09,2.54,21.90,358.76
2025-09-19 16:16:21,38.56,2.95,21.92,359.07
2025-09-19 16:16:31,42.12,3.78,20.72,339.44
2025-09-19 16:16:41,39.64,2.55,21.73,355.98
2025-09-19 16:16:51,39.59,3.61,21.53,352.75
2025-09-19 16:17:01,38.89,2.94,21.94,359.41
2025-09-19 16:17:11,40.84,2.55,21.68,355.16
2025-09-19 16:17:21,41.82,2.39,21.43,351.11
2025-09-19 16:17:31,42.11,2.47,21.30,348.96
2025-09-19 16:17:41,41.93,2.83,21.20,347.39
2025-09-19 16:17:51,39.54,2.55,22.14,362.70
2025-09-19 16:18:01,43.63,4.30,19.91,326.15
2025-09-19 16:18:11,42.12,2.58,21.30,348.95
2025-09-19 16:18:21,39.11,2.54,22.22,364.08
2025-09-19 16:18:31,42.64,4.28,20.31,332.84
2025-09-19 16:18:41,42.27,2.85,21.16,346.77
2025-09-19 16:18:51,40.11,4.64,20.33,333.05
2025-09-19 16:19:02,41.49,2.49,21.46,351.55
2025-09-19 16:19:12,40.49,4.81,20.67,338.67
2025-09-19 16:19:22,43.62,4.83,19.71,322.87
2025-09-19 16:19:32,41.50,2.69,21.34,349.65
2025-09-19 16:19:42,41.05,2.93,21.35,349.81
2025-09-19 16:19:52,42.26,3.41,20.80,340.75
2025-09-19 16:20:02,44.49,3.99,19.72,323.05
2025-09-19 16:20:12,38.63,2.62,21.98,360.10
2025-09-19 16:20:22,42.04,2.77,20.78,340.52
2025-09-19 16:20:32,39.20,2.68,21.89,358.58
2025-09-19 16:20:42,42.20,2.89,21.14,346.32
2025-09-19 16:20:52,40.57,2.78,21.75,356.38
2025-09-19 16:21:02,41.84,2.66,21.33,349.46
2025-09-19 16:21:12,41.38,2.90,21.33,349.42
2025-09-19 16:21:22,41.70,2.51,21.46,351.66
2025-09-19 16:21:32,41.93,4.51,20.19,330.78
2025-09-19 16:21:42,37.08,2.58,22.68,371.55
2025-09-19 16:21:52,42.07,2.77,21.21,347.43
2025-09-19 16:22:02,39.40,2.76,22.28,364.99
2025-09-19 16:22:12,43.87,4.15,19.93,326.51
2025-09-19 16:22:22,42.96,4.16,20.18,330.68
2025-09-19 16:22:32,41.53,4.01,20.80,340.84
2025-09-19 16:22:42,42.30,2.83,21.12,345.98
2025-09-19 16:22:52,43.69,5.79,19.28,315.89
2025-09-19 16:23:02,37.72,2.57,22.22,364.00
2025-09-19 16:23:12,43.40,4.90,19.76,323.67
2025-09-19 16:23:22,42.13,2.52,21.24,347.92
2025-09-19 16:23:32,40.24,3.02,21.73,356.03
2025-09-19 16:23:42,42.01,2.53,21.17,346.82
2025-09-19 16:23:52,39.08,2.67,21.61,354.13
2025-09-19 16:24:02,41.87,2.55,21.36,349.98
2025-09-19 16:24:12,41.87,2.88,21.21,347.50
2025-09-19 16:24:22,43.69,4.40,19.90,326.08
2025-09-19 16:24:32,42.65,2.85,20.90,342.37
2025-09-19 16:24:42,36.96,2.55,22.32,365.66
2025-09-19 16:24:52,39.06,2.94,21.64,354.53
2025-09-19 16:25:02,39.42,3.40,21.10,345.69
2025-09-19 16:25:12,40.07,2.59,21.96,359.78
2025-09-19 16:25:22,42.29,2.50,21.20,347.27
2025-09-19 16:25:32,42.18,2.71,21.20,347.31
2025-09-19 16:25:43,43.72,4.13,19.99,327.45
2025-09-19 16:25:53,42.44,4.55,20.28,332.29
2025-09-19 16:26:03,43.60,4.25,19.96,327.07
2025-09-19 16:26:13,43.38,4.23,20.06,328.70
2025-09-19 16:26:23,42.25,2.63,21.17,346.92
2025-09-19 16:26:33,43.51,4.46,19.93,326.52
2025-09-19 16:26:43,41.61,2.79,21.34,349.59
2025-09-19 16:26:53,42.20,2.55,21.27,348.49
2025-09-19 16:27:03,42.09,4.14,20.60,337.54
2025-09-19 16:27:13,38.77,4.48,20.92,342.73
2025-09-19 16:27:23,43.45,4.15,20.08,329.01
2025-09-19 16:27:33,42.31,2.68,21.17,346.92
2025-09-19 16:27:43,38.10,2.54,22.16,363.13
2025-09-19 16:27:53,42.03,2.66,21.29,348.85
2025-09-19 16:28:03,43.12,2.91,20.64,338.10
2025-09-19 16:28:13,41.75,2.77,21.27,348.54
2025-09-19 16:28:23,43.16,4.28,20.04,328.36
2025-09-19 16:28:33,43.03,4.60,19.94,326.68
2025-09-19 16:28:43,38.59,2.68,21.85,358.00
2025-09-19 16:28:53,42.24,4.03,20.66,338.43
2025-09-19 16:29:03,42.41,3.10,20.92,342.74
2025-09-19 16:29:13,42.12,3.56,20.82,341.18
2025-09-19 16:29:23,42.34,2.92,21.00,344.13
