시간,데이터수집(ms),신호처리(ms),화면갱신(Hz),루프처리량(kS/s)
2025-09-19 13:40:10,5.28,2.80,95.72,1568.26
2025-09-19 13:40:20,7.04,3.40,76.76,1257.59
2025-09-19 13:40:30,7.66,4.41,68.12,1116.07
2025-09-19 13:40:40,7.52,4.21,60.97,998.95
2025-09-19 13:40:50,6.80,2.60,71.18,1166.24
2025-09-19 13:41:00,7.44,4.01,62.16,1018.46
2025-09-19 13:41:10,5.10,4.24,82.94,1358.87
2025-09-19 13:41:20,4.69,2.55,101.67,1665.81
2025-09-19 13:41:30,6.22,2.67,87.45,1432.76
2025-09-19 13:41:40,6.31,2.52,88.20,1445.02
2025-09-19 13:41:50,9.43,2.68,59.46,974.15
2025-09-19 13:42:00,8.02,4.03,69.25,1134.58
2025-09-19 13:42:10,5.77,2.41,94.61,1550.08
2025-09-19 13:42:20,9.05,2.57,65.10,1066.64
2025-09-19 13:42:30,5.91,2.43,93.39,1530.06
2025-09-19 13:42:40,11.83,4.94,44.11,722.74
2025-09-19 13:42:50,8.96,3.84,62.78,1028.61
2025-09-19 13:43:00,5.91,2.47,93.23,1527.54
2025-09-19 13:43:10,6.03,2.41,92.86,1521.42
2025-09-19 13:43:20,5.98,2.51,91.80,1504.07
2025-09-19 13:43:30,5.93,2.38,94.12,1542.11
2025-09-19 13:43:40,9.01,3.74,58.30,955.11
2025-09-19 13:43:50,9.10,3.94,57.28,938.55
2025-09-19 13:44:00,6.01,2.44,91.82,1504.40
2025-09-19 13:44:10,7.47,4.25,69.86,1144.54
2025-09-19 13:44:20,5.90,2.30,95.01,1556.57
2025-09-19 13:44:30,6.37,3.24,77.81,1274.92
2025-09-19 13:44:40,6.16,2.44,91.63,1501.28
2025-09-19 13:44:50,6.17,2.64,88.09,1443.26
2025-09-19 13:45:00,9.35,3.67,63.87,1046.50
2025-09-19 13:45:10,6.10,2.63,88.76,1454.29
2025-09-19 13:45:20,6.39,2.53,87.84,1439.24
2025-09-19 13:45:30,6.50,2.58,83.89,1374.39
