시간,데이터수집(ms),신호처리(ms),화면갱신(Hz),루프처리량(kS/s)
2025-09-19 10:15:13,59.01,2.61,15.68,256.92
2025-09-19 10:15:23,60.04,2.59,15.43,252.84
2025-09-19 10:15:33,63.81,2.53,14.60,239.19
2025-09-19 10:15:43,61.14,2.61,15.14,247.98
2025-09-19 10:15:53,59.59,2.65,15.53,254.52
2025-09-19 10:16:03,62.60,2.74,14.81,242.69
2025-09-19 10:16:13,60.13,2.47,15.44,253.04
2025-09-19 10:16:23,58.99,2.62,15.69,257.09
2025-09-19 10:16:33,60.51,2.55,15.28,250.41
2025-09-19 10:16:43,47.78,2.70,18.98,310.91
2025-09-19 10:16:53,59.72,3.11,15.38,252.03
2025-09-19 10:17:03,46.96,2.48,19.23,314.99
2025-09-19 10:17:13,48.10,2.62,18.91,309.81
