시간,데이터수집(ms),신호처리(ms),화면갱신(Hz),루프처리량(kS/s)
2025-09-19 10:11:32,56.40,3.86,15.52,254.33
2025-09-19 10:11:42,60.30,2.58,15.36,251.68
2025-09-19 10:11:52,61.79,3.62,14.76,241.77
2025-09-19 10:12:02,61.97,2.47,14.97,245.35
2025-09-19 10:12:12,60.57,2.48,15.31,250.88
2025-09-19 10:12:22,58.03,2.79,15.88,260.14
2025-09-19 10:12:32,61.25,2.71,15.12,247.79
2025-09-19 10:12:42,59.22,2.60,15.44,252.89
2025-09-19 10:12:52,59.29,2.54,15.63,256.04
2025-09-19 10:13:02,60.82,2.47,15.27,250.21
2025-09-19 10:13:12,59.27,3.72,15.34,251.27
2025-09-19 10:13:22,60.56,2.44,15.25,249.92
2025-09-19 10:13:32,59.52,3.25,15.40,252.29
2025-09-19 10:13:42,63.09,3.80,14.48,237.29
2025-09-19 10:13:52,61.88,2.53,15.00,245.69
2025-09-19 10:14:02,61.19,2.61,15.16,248.35
2025-09-19 10:14:12,44.73,2.67,19.31,316.32
2025-09-19 10:14:22,61.24,2.51,15.16,248.36
2025-09-19 10:14:32,58.52,2.49,15.62,255.84
2025-09-19 10:14:42,60.43,2.51,15.33,251.15
2025-09-19 10:14:52,59.57,2.94,15.46,253.32
