시간,데이터수집(ms),신호처리(ms),화면갱신(Hz),루프처리량(kS/s)
2025-09-19 18:04:37,42.20,2.53,21.25,348.12
2025-09-19 18:04:47,42.09,3.11,21.04,344.76
2025-09-19 18:04:57,42.15,2.47,21.29,348.84
2025-09-19 18:05:08,43.40,2.82,20.62,337.92
2025-09-19 18:05:18,42.66,2.66,21.04,344.80
2025-09-19 18:05:28,42.32,2.96,21.04,344.69
2025-09-19 18:05:38,43.09,2.74,20.70,339.18
2025-09-19 18:05:48,34.95,2.73,21.18,347.01
2025-09-19 18:05:58,25.17,2.85,21.26,348.33
2025-09-19 18:06:08,43.74,2.55,21.29,348.82
2025-09-19 18:06:18,41.87,2.98,21.18,346.96
2025-09-19 18:06:28,42.14,2.81,21.18,347.00
2025-09-19 18:06:38,42.33,2.56,21.25,348.13
2025-09-19 18:06:48,42.17,2.86,21.11,345.86
2025-09-19 18:06:58,40.03,2.63,21.92,359.14
2025-09-19 18:07:08,41.98,2.90,21.16,346.73
2025-09-19 18:07:18,42.19,2.69,21.24,348.01
2025-09-19 18:07:28,43.54,2.72,20.66,338.42
2025-09-19 18:07:38,41.22,2.82,21.43,351.12
2025-09-19 18:07:48,41.85,3.31,21.04,344.70
