시간,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,yt0,yt1,yt2,yt3,LPF설정,R평균,출력샘플속도(S/s)
2025-09-23 10:06:48.008,135381.421875,0.24806809425354004,327675.90625,327675.90625,327675.90625,0.0010856541339308023,327675.90625,0.0008300680783577263,-1.4342470169067383,0.0,-2.1199381351470947,-2.149082660675049,2500,4,10.0
2025-09-23 10:06:51.036,153718.640625,0.24806952476501465,327675.90625,327675.90625,327675.90625,0.0011403114767745137,327675.90625,0.0008444392587989569,-1.4480383396148682,0.0,-2.114605188369751,-2.147219181060791,2500,4,10.0
2025-09-23 10:06:54.056,143651.859375,0.2479615956544876,327675.90625,327675.90625,327675.90625,0.0011031051399186254,327675.90625,0.0008508661412633955,-1.4407317638397217,0.0,-2.1182069778442383,-2.146395683288574,2500,4,10.0
2025-09-23 10:06:57.080,149047.96875,0.24807001650333405,327675.90625,327675.90625,327675.90625,0.0011244674678891897,327675.90625,0.00087664311286062,-1.4446879625320435,0.0,-2.116124391555786,-2.143155336380005,2500,4,10.0
2025-09-23 10:07:00.102,151765.53125,0.24805450439453125,327675.90625,327675.90625,327675.90625,0.0010819091694429517,327675.90625,0.0008415745687671006,-1.4466564655303955,0.0,-2.1203134059906006,-2.147588014602661,2500,4,10.0
2025-09-23 10:07:03.123,145914.1875,0.24805210530757904,327675.90625,327675.90625,327675.90625,0.0011401200899854302,327675.90625,0.000871615600772202,-1.442388653755188,0.0,-2.114623546600342,-2.143779754638672,2500,4,10.0
2025-09-23 10:07:06.145,143368.78125,0.24804306030273438,327675.90625,327675.90625,327675.90625,0.0011023246916010976,327675.90625,0.0008423496619798243,-1.4404819011688232,0.0,-2.118283748626709,-2.1474881172180176,2500,4,10.0
2025-09-23 10:07:09.167,153165.921875,0.2481529414653778,327675.90625,327675.90625,327675.90625,0.001168760354630649,327675.90625,0.000863398949149996,-1.44761061668396,0.0,-2.1119296550750732,-2.144808292388916,2500,4,10.0
2025-09-23 10:07:12.191,128956.03125,0.24804078042507172,327675.90625,327675.90625,327675.90625,0.001162059372290969,327675.90625,0.0008740455959923565,-1.4289796352386475,0.0,-2.1125540733337402,-2.14347767829895,2500,4,10.0
2025-09-23 10:07:15.209,177496.78125,0.248056560754776,327675.90625,327675.90625,327675.90625,0.001080905320122838,327675.90625,0.0008371500880457461,-1.4636600017547607,0.0,-2.1204142570495605,-2.148160219192505,2500,4,10.0
2025-09-23 10:07:18.231,146905.953125,0.24810265004634857,327675.90625,327675.90625,327675.90625,0.0011255694553256035,327675.90625,0.00087898806668818,-1.4431020021438599,0.0,-2.116018056869507,-2.1428654193878174,2500,4,10.0
2025-09-23 10:07:21.253,138793.984375,8.67731761932373,327675.90625,327675.90625,327675.90625,0.0011329555418342352,327675.90625,0.0008663597400300205,-1.0509963035583496,0.0,-2.1153080463409424,-2.1444365978240967,2500,4,10.0
2025-09-23 10:07:24.275,148091.6875,8.678035736083984,327675.90625,327675.90625,327675.90625,0.0010879437904804945,327675.90625,0.0008380342042073607,-1.0580273866653442,0.0,-2.1197094917297363,-2.148045539855957,2500,4,10.0
2025-09-23 10:07:27.297,149580.640625,8.678701400756836,327675.90625,327675.90625,327675.90625,0.0011282407213002443,327675.90625,0.0008629020885564387,-1.0591051578521729,0.0,-2.115760564804077,-2.1448707580566406,2500,4,10.0
2025-09-23 10:07:30.319,149721.46875,8.680315971374512,327675.90625,327675.90625,327675.90625,0.0010868264362215996,327675.90625,0.0008445311104878783,-1.0591871738433838,0.0,-2.119821071624756,-2.147207260131836,2500,4,10.0
2025-09-23 10:07:33.339,147060.703125,8.679616928100586,327675.90625,327675.90625,327675.90625,0.001115047954954207,327675.90625,0.0008535406086593866,-1.0572489500045776,0.0,-2.117037773132324,-2.146054983139038,2500,4,10.0
2025-09-23 10:07:36.359,138116.390625,8.679046630859375,327675.90625,327675.90625,327675.90625,0.0011046670842915773,327675.90625,0.0008580923895351589,-1.0504432916641235,0.0,-2.1180531978607178,-2.145477771759033,2500,4,10.0
2025-09-23 10:07:39.381,144414.0,8.680363655090332,327675.90625,327675.90625,327675.90625,0.001083826064132154,327675.90625,0.0008459152304567397,-1.0552678108215332,0.0,-2.1201212406158447,-2.147029399871826,2500,4,10.0
2025-09-23 10:07:42.402,150466.546875,8.682962417602539,327675.90625,327675.90625,327675.90625,0.0011069235624745488,327675.90625,0.0008429450681433082,-1.0596930980682373,0.0,-2.1178317070007324,-2.147411346435547,2500,4,10.0
2025-09-23 10:07:45.424,150264.078125,8.682550430297852,327675.90625,327675.90625,327675.90625,0.0011270425748080015,327675.90625,0.0008889425662346184,-1.0595519542694092,0.0,-2.1158759593963623,-2.1416425704956055,2500,4,10.0
2025-09-23 10:07:48.446,137920.046875,8.683688163757324,327675.90625,327675.90625,327675.90625,0.0010785619961097836,327675.90625,0.0008463634294457734,-1.050230860710144,0.0,-2.120649814605713,-2.1469719409942627,2500,4,10.0
2025-09-23 10:07:51.471,148100.671875,8.685182571411133,327675.90625,327675.90625,327675.90625,0.001110933255404234,327675.90625,0.0008532801875844598,-1.0579445362091064,0.0,-2.117439031600952,-2.146088123321533,2500,4,10.0
2025-09-23 10:07:54.492,149838.828125,8.686175346374512,327675.90625,327675.90625,327675.90625,0.0011262381449341774,327675.90625,0.0008699243771843612,-1.0591989755630493,0.0,-2.1159536838531494,-2.1439907550811768,2500,4,10.0
