시간,샘플링 속도(kS/s),블록 크기(samples),블록 시간(ms),블록 처리량(blocks/s),실제 처리량(kS/s/ch)
2025-09-23 10:06:55,1000000.0,16384,16.384,61.03515625,346.17988562677573
2025-09-23 10:07:05,1000000.0,16384,16.384,61.03515625,346.27582720341843
2025-09-23 10:07:15,1000000.0,16384,16.384,61.03515625,345.4316256119997
2025-09-23 10:07:25,1000000.0,16384,16.384,61.03515625,346.99971589434404
2025-09-23 10:07:35,1000000.0,16384,16.384,61.03515625,352.16737679428905
2025-09-23 10:07:45,1000000.0,16384,16.384,61.03515625,351.3463269202256
2025-09-23 10:07:55,1000000.0,16384,16.384,61.03515625,345.94635946073845
2025-09-23 10:08:05,1000000.0,16384,16.384,61.03515625,350.4361450506637
2025-09-23 10:08:15,1000000.0,16384,16.384,61.03515625,344.57943506994934
2025-09-23 10:08:25,1000000.0,16384,16.384,61.03515625,344.8059284592497
2025-09-23 10:08:35,1000000.0,16384,16.384,61.03515625,347.8604130418276
2025-09-23 10:08:45,1000000.0,16384,16.384,61.03515625,346.89461701472493
2025-09-23 10:08:55,1000000.0,16384,16.384,61.03515625,340.84336925640827
2025-09-23 10:09:05,1000000.0,16384,16.384,61.03515625,346.3421451805559
2025-09-23 10:09:15,1000000.0,16384,16.384,61.03515625,354.4890600500374
2025-09-23 10:09:25,1000000.0,16384,16.384,61.03515625,342.4962582098553
2025-09-23 10:09:35,1000000.0,16384,16.384,61.03515625,341.09206248107654
2025-09-23 10:09:45,1000000.0,16384,16.384,61.03515625,345.93591043453745
2025-09-23 10:09:55,1000000.0,16384,16.384,61.03515625,350.6185195336616
2025-09-23 10:10:05,1000000.0,16384,16.384,61.03515625,338.9871583267561
2025-09-23 10:10:15,1000000.0,16384,16.384,61.03515625,344.20835350747575
2025-09-23 10:10:25,1000000.0,16384,16.384,61.03515625,348.9680012187567
2025-09-23 10:10:35,1000000.0,16384,16.384,61.03515625,348.0753733582539
2025-09-23 10:10:45,1000000.0,16384,16.384,61.03515625,343.81398649148963
2025-09-23 10:10:55,1000000.0,16384,16.384,61.03515625,339.0222780378788
2025-09-23 10:11:05,1000000.0,16384,16.384,61.03515625,347.87097865274905
2025-09-23 10:11:15,1000000.0,16384,16.384,61.03515625,346.4364302256996
2025-09-23 10:11:25,1000000.0,16384,16.384,61.03515625,348.1370913512199
2025-09-23 10:11:35,1000000.0,16384,16.384,61.03515625,343.11530667412285
2025-09-23 10:11:45,1000000.0,16384,16.384,61.03515625,339.55498162376904
2025-09-23 10:11:55,1000000.0,16384,16.384,61.03515625,350.30931006076423
2025-09-23 10:12:05,1000000.0,16384,16.384,61.03515625,348.8209778228979
2025-09-23 10:12:15,1000000.0,16384,16.384,61.03515625,347.9890049221171
2025-09-23 10:12:25,1000000.0,16384,16.384,61.03515625,351.5872028651096
2025-09-23 10:12:35,1000000.0,16384,16.384,61.03515625,338.5629525752067
2025-09-23 10:12:45,1000000.0,16384,16.384,61.03515625,356.07791458624797
2025-09-23 10:12:55,1000000.0,16384,16.384,61.03515625,341.4327003597194
2025-09-23 10:13:05,1000000.0,16384,16.384,61.03515625,348.4654459600621
2025-09-23 10:13:15,1000000.0,16384,16.384,61.03515625,325.4240761475406
2025-09-23 10:13:25,1000000.0,16384,16.384,61.03515625,347.60175590806085
2025-09-23 10:13:35,1000000.0,16384,16.384,61.03515625,356.58973051117465
2025-09-23 10:13:45,1000000.0,16384,16.384,61.03515625,344.7678706006893
2025-09-23 10:13:55,1000000.0,16384,16.384,61.03515625,347.72487798164207
2025-09-23 10:14:05,1000000.0,16384,16.384,61.03515625,347.12767210531104
2025-09-23 10:14:15,1000000.0,16384,16.384,61.03515625,338.86680310860385
2025-09-23 10:14:25,1000000.0,16384,16.384,61.03515625,346.40325000504083
2025-09-23 10:14:35,1000000.0,16384,16.384,61.03515625,349.3547499593298
2025-09-23 10:14:45,1000000.0,16384,16.384,61.03515625,355.9082500492019
2025-09-23 10:14:55,1000000.0,16384,16.384,61.03515625,346.7510847962216
2025-09-23 10:15:05,1000000.0,16384,16.384,61.03515625,343.74347465672906
2025-09-23 10:15:15,1000000.0,16384,16.384,61.03515625,343.8965736991182
2025-09-23 10:15:25,1000000.0,16384,16.384,61.03515625,348.22529788894406
2025-09-23 10:15:35,1000000.0,16384,16.384,61.03515625,346.9979637245001
2025-09-23 10:15:45,1000000.0,16384,16.384,61.03515625,339.82532259914944
2025-09-23 10:15:55,1000000.0,16384,16.384,61.03515625,347.2083505254649
2025-09-23 10:16:05,1000000.0,16384,16.384,61.03515625,349.85453198454354
2025-09-23 10:16:15,1000000.0,16384,16.384,61.03515625,347.6826548747786
2025-09-23 10:16:25,1000000.0,16384,16.384,61.03515625,349.93113726448723
2025-09-23 10:16:35,1000000.0,16384,16.384,61.03515625,344.1962852162763
2025-09-23 10:16:45,1000000.0,16384,16.384,61.03515625,350.9945947646653
2025-09-23 10:16:55,1000000.0,16384,16.384,61.03515625,347.59999765297397
2025-09-23 10:17:05,1000000.0,16384,16.384,61.03515625,341.5939352497602
2025-09-23 10:17:15,1000000.0,16384,16.384,61.03515625,351.2565323682906
2025-09-23 10:17:25,1000000.0,16384,16.384,61.03515625,360.9576414453123
2025-09-23 10:17:35,1000000.0,16384,16.384,61.03515625,347.8392837452736
2025-09-23 10:17:46,1000000.0,16384,16.384,61.03515625,348.62808697505
2025-09-23 10:17:56,1000000.0,16384,16.384,61.03515625,348.91307436799644
2025-09-23 10:18:06,1000000.0,16384,16.384,61.03515625,346.5464943468921
2025-09-23 10:18:16,1000000.0,16384,16.384,61.03515625,355.6632597676164
2025-09-23 10:18:26,1000000.0,16384,16.384,61.03515625,344.6191795473579
2025-09-23 10:18:36,1000000.0,16384,16.384,61.03515625,346.93139437999173
2025-09-23 10:18:46,1000000.0,16384,16.384,61.03515625,330.221751630218
2025-09-23 10:18:56,1000000.0,16384,16.384,61.03515625,353.43707175773534
2025-09-23 10:19:06,1000000.0,16384,16.384,61.03515625,341.2665332578489
2025-09-23 10:19:16,1000000.0,16384,16.384,61.03515625,350.3432428205089
2025-09-23 10:19:26,1000000.0,16384,16.384,61.03515625,348.78556901916
2025-09-23 10:19:36,1000000.0,16384,16.384,61.03515625,349.2091751242466
2025-09-23 10:19:46,1000000.0,16384,16.384,61.03515625,349.0211727038173
2025-09-23 10:19:56,1000000.0,16384,16.384,61.03515625,348.730699577785
2025-09-23 10:20:06,1000000.0,16384,16.384,61.03515625,349.2233722062426
2025-09-23 10:20:16,1000000.0,16384,16.384,61.03515625,334.08758069550254
2025-09-23 10:20:26,1000000.0,16384,16.384,61.03515625,344.21869843066736
2025-09-23 10:20:36,1000000.0,16384,16.384,61.03515625,352.6119070846183
2025-09-23 10:20:46,1000000.0,16384,16.384,61.03515625,350.73841786778814
2025-09-23 10:20:56,1000000.0,16384,16.384,61.03515625,350.3503873970787
2025-09-23 10:21:06,1000000.0,16384,16.384,61.03515625,348.7767179414302
2025-09-23 10:21:16,1000000.0,16384,16.384,61.03515625,347.7583118816641
2025-09-23 10:21:26,1000000.0,16384,16.384,61.03515625,343.1547140988125
2025-09-23 10:21:36,1000000.0,16384,16.384,61.03515625,352.0933973582547
2025-09-23 10:21:46,1000000.0,16384,16.384,61.03515625,345.0864316324942
2025-09-23 10:21:56,1000000.0,16384,16.384,61.03515625,334.80050052861077
2025-09-23 10:22:06,1000000.0,16384,16.384,61.03515625,347.9907671148247
2025-09-23 10:22:16,1000000.0,16384,16.384,61.03515625,347.55077373119235
2025-09-23 10:22:26,1000000.0,16384,16.384,61.03515625,346.74758549421495
2025-09-23 10:22:36,1000000.0,16384,16.384,61.03515625,343.2524150029221
2025-09-23 10:22:46,1000000.0,16384,16.384,61.03515625,346.40325000504083
2025-09-23 10:22:56,1000000.0,16384,16.384,61.03515625,347.5894484959763
2025-09-23 10:23:06,1000000.0,16384,16.384,61.03515625,347.5912066443435
2025-09-23 10:23:16,1000000.0,16384,16.384,61.03515625,349.98460267888976
2025-09-23 10:23:26,1000000.0,16384,16.384,61.03515625,355.0843628171343
2025-09-23 10:23:36,1000000.0,16384,16.384,61.03515625,349.3867216578709
2025-09-23 10:23:46,1000000.0,16384,16.384,61.03515625,350.7742243093697
2025-09-23 10:23:56,1000000.0,16384,16.384,61.03515625,350.5934765036299
2025-09-23 10:24:06,1000000.0,16384,16.384,61.03515625,353.7536510002162
2025-09-23 10:24:16,1000000.0,16384,16.384,61.03515625,345.19737350620125
2025-09-23 10:24:26,1000000.0,16384,16.384,61.03515625,345.62968623506214
2025-09-23 10:24:36,1000000.0,16384,16.384,61.03515625,350.24860468292883
2025-09-23 10:24:46,1000000.0,16384,16.384,61.03515625,347.65627063971874
2025-09-23 10:24:56,1000000.0,16384,16.384,61.03515625,348.8404557296161
2025-09-23 10:25:06,1000000.0,16384,16.384,61.03515625,345.4472537236903
2025-09-23 10:25:16,1000000.0,16384,16.384,61.03515625,351.03762616660106
2025-09-23 10:25:26,1000000.0,16384,16.384,61.03515625,348.6935397636457
2025-09-23 10:25:36,1000000.0,16384,16.384,61.03515625,343.40336078115865
2025-09-23 10:25:46,1000000.0,16384,16.384,61.03515625,348.433642639841
2025-09-23 10:25:56,1000000.0,16384,16.384,61.03515625,347.4822350680609
2025-09-23 10:26:06,1000000.0,16384,16.384,61.03515625,346.7580836121245
2025-09-23 10:26:16,1000000.0,16384,16.384,61.03515625,346.45738942974253
2025-09-23 10:26:26,1000000.0,16384,16.384,61.03515625,357.9120772079312
2025-09-23 10:26:36,1000000.0,16384,16.384,61.03515625,348.50785941921674
2025-09-23 10:26:46,1000000.0,16384,16.384,61.03515625,347.8516088563127
2025-09-23 10:26:56,1000000.0,16384,16.384,61.03515625,346.95066182655364
2025-09-23 10:27:06,1000000.0,16384,16.384,61.03515625,347.3241720460542
2025-09-23 10:27:17,1000000.0,16384,16.384,61.03515625,337.6994625662799
2025-09-23 10:27:27,1000000.0,16384,16.384,61.03515625,337.119629989747
2025-09-23 10:27:37,1000000.0,16384,16.384,61.03515625,348.65638786796416
