시간,데이터수집(ms),신호처리(ms),화면갱신(Hz),루프처리량(kS/s)
2025-09-18 20:21:59,42.11,3.80,20.80,340.83
2025-09-18 20:22:09,42.20,2.61,21.21,347.45
2025-09-18 20:22:19,42.32,2.58,21.25,348.19
2025-09-18 20:22:29,42.10,2.71,21.21,347.46
2025-09-18 20:22:39,42.26,2.62,21.17,346.84
2025-09-18 20:22:49,42.62,2.53,21.15,346.44
2025-09-18 20:22:59,42.35,2.70,21.17,346.78
2025-09-18 20:23:09,42.29,2.83,21.08,345.41
2025-09-18 20:23:19,39.90,2.46,21.96,359.75
2025-09-18 20:23:29,41.63,2.56,21.57,353.33
2025-09-18 20:23:39,42.31,2.84,21.12,346.11
2025-09-18 20:23:49,39.11,2.67,21.81,357.32
2025-09-18 20:23:59,42.50,2.42,21.24,348.03
2025-09-18 20:24:09,42.86,2.91,20.86,341.82
2025-09-18 20:24:19,41.95,2.72,21.28,348.60
2025-09-18 20:24:29,40.76,2.80,21.27,348.56
2025-09-18 20:24:39,42.63,3.02,20.85,341.53
2025-09-18 20:24:49,42.64,2.58,21.10,345.65
2025-09-18 20:24:59,42.54,2.54,21.16,346.65
2025-09-18 20:25:09,39.05,2.60,21.64,354.54
2025-09-18 20:25:19,41.49,3.21,21.19,347.22
2025-09-18 20:25:29,42.07,2.47,21.36,350.01
2025-09-18 20:25:39,42.72,4.02,20.45,335.02
2025-09-18 20:25:49,42.45,2.63,21.11,345.87
2025-09-18 20:25:59,42.18,2.47,21.36,349.99
2025-09-18 20:26:09,41.86,2.60,21.25,348.22
2025-09-18 20:26:19,42.23,2.86,21.07,345.20
2025-09-18 20:26:29,42.53,2.57,21.15,346.60
2025-09-18 20:26:39,40.46,2.72,21.23,347.86
2025-09-18 20:26:49,42.07,2.76,21.20,347.31
2025-09-18 20:26:59,42.92,3.23,20.69,339.03
2025-09-18 20:27:09,41.87,3.06,21.06,345.11
2025-09-18 20:27:19,41.14,2.82,21.63,354.40
2025-09-18 20:27:29,42.15,4.85,20.12,329.59
2025-09-18 20:27:39,39.57,2.73,21.72,355.92
2025-09-18 20:27:49,41.08,2.61,21.72,355.92
2025-09-18 20:27:59,42.40,2.53,21.23,347.84
2025-09-18 20:28:09,41.71,2.78,21.34,349.68
2025-09-18 20:28:19,42.59,2.59,21.12,345.98
2025-09-18 20:28:29,42.18,2.94,21.11,345.89
